avtor,izdajatelj,strip
0,7,9781974728480
1,27,9781626928879
2,22,9781612629063
2,22,9781612629070
2,22,9781612629087
2,22,9781612629940
2,22,9781612629957
3,21,9780316396011
4,7,9781421540184
4,7,9781421540191
4,7,9781421540207
4,7,9781421554921
4,7,9781421554938
4,7,9781421554976
4,7,9781421599793
4,7,9781421599809
4,7,9781591169208
4,7,9781974700059
5,22,9781632364975
5,22,9781632364982
5,22,9781632365286
5,22,9781632365293
6,7,9781974718719
7,21,9780316465816
7,21,9780316465823
8,7,9781421576015
8,7,9781974717156
8,7,9781974719365
9,18,9781616552268
9,24,9781506700403
10,22,9781612629216
10,22,9781612629230
11,7,9781421585284
12,7,9781421594378
12,7,9781974701001
12,7,9781974702565
12,7,9781974704378
12,7,9781974704606
13,1,9781947194939
13,7,9781421504797
13,7,9781421504803
13,7,9781421533087
14,8,9781427862280
15,7,9781591169154
16,18,9781616559212
16,18,9781616559229
16,22,9781612624204
16,22,9781612624211
16,22,9781612624235
16,22,9781612624242
16,22,9781612628035
16,22,9781632363725
16,22,9781632364456
16,22,9781632366306
16,22,9781632368034
16,22,9781646510771
17,4,9780545208871
18,7,9781421500492
18,7,9781421565972
18,7,9781569317778
18,7,9781591166986
18,19,9781250846525
19,1,9781947194861
19,15,9781647291655
20,7,9781974700523
20,7,9781974700530
20,7,9781974700547
20,7,9781974700554
20,7,9781974700561
20,7,9781974700578
20,7,9781974704415
20,7,9781974704439
20,7,9781974704552
20,7,9781974706488
20,7,9781974710614
20,7,9781974711123
20,7,9781974711130
20,7,9781974711147
20,7,9781974714773
20,7,9781974714780
20,7,9781974717606
20,7,9781974718115
20,7,9781974720972
20,7,9781974721207
20,7,9781974723416
20,7,9781974723638
20,7,9781974725953
21,7,9781974702619
21,7,9781974702626
21,7,9781974702633
21,7,9781974704460
21,7,9781974705016
21,7,9781974705061
22,7,9781974728947
22,7,9781974732142
22,7,9781974732197
22,7,9781974733965
23,7,9781974713202
23,7,9781974713226
23,7,9781974713240
23,7,9781974713257
24,24,9781506701950
24,25,9781616550745
25,7,9781421587189
25,7,9781421587196
25,7,9781421587202
25,7,9781421590233
25,7,9781421591254
25,7,9781421591582
25,7,9781974732319
26,7,9781421597126
26,7,9781421597133
26,7,9781421597140
26,7,9781421597157
26,7,9781421597164
26,7,9781974701476
26,7,9781974702244
26,7,9781974702299
26,7,9781974704873
26,7,9781974704989
26,7,9781974708383
26,7,9781974708888
26,7,9781974708895
26,7,9781974710164
26,7,9781974714995
26,7,9781974717019
26,7,9781974718146
26,7,9781974719785
26,7,9781974721832
26,7,9781974721863
27,24,9781506703350
28,2,9781646090334
28,2,9781646090341
28,2,9781646090518
28,2,9781646091133
28,9,9781646090327
29,27,9781638581284
29,27,9781638582410
29,27,9781638583509
29,27,9781638587651
29,27,9781645057932
29,27,9781648273223
30,27,9781638581567
30,27,9781638582106
30,27,9781638582533
30,27,9781638583011
30,27,9781638585237
30,27,9781638585503
30,27,9781648279171
30,27,9781648279188
30,27,9781648279195
30,27,9781648279218
30,27,9781648279225
31,11,9781935548782
32,21,9780759530010
32,21,9780759530485
32,22,9781632363305
33,7,9781421587813
33,7,9781421587837
33,7,9781421587844
33,7,9781421587868
33,7,9781421587899
33,7,9781421587905
34,7,9781421591292
35,7,9781974718092
36,27,9781626926035
36,27,9781626928893
37,7,9781974709281
37,7,9781974709298
37,7,9781974709304
38,17,9780062121639
38,17,9780062121660
39,7,9781421523217
39,7,9781421586205
39,7,9781421586212
39,7,9781421586236
39,7,9781421586243
39,7,9781421586250
39,7,9781421586267
39,15,9781941220856
40,7,9781421526102
40,7,9781421539928
40,7,9781591164418
40,7,9781591164425
40,7,9781591164432
40,7,9781974735983
41,7,9781421540337
41,7,9781421540474
41,7,9781421540764
41,7,9781421541747
41,7,9781421542621
42,7,9781421540320
43,21,9781975336516
43,21,9781975337247
43,21,9781975344382
43,23,9781975319434
43,28,9781975319458
44,6,9781626922716
44,27,9781626923027
45,21,9780316270106
45,21,9780316270113
45,21,9780316270120
45,21,9780316270137
45,21,9780316342032
45,21,9780316469326
46,7,9781421527611
47,7,9781421584409
48,7,9781421596440
49,21,9781975320331
49,21,9781975323844
50,26,9781592911301
51,7,9781974711826
51,7,9781974711833
51,7,9781974711840
51,7,9781974711857
51,7,9781974711864
52,22,9781612620732
52,22,9781612620749
52,22,9781612620756
52,22,9781612620763
52,22,9781612623108
53,7,9781421536385
53,7,9781421536408
54,21,9780316468152
54,21,9780316554701
54,21,9781975325671
54,21,9781975337131
54,21,9781975344931
54,21,9781975359218
55,22,9781632367709
55,22,9781632368041
55,22,9781632368058
55,22,9781632368607
55,22,9781632369291
55,22,9781646510108
55,22,9781646514472
56,21,9780316398459
57,7,9781421501840
57,7,9781421501857
57,7,9781421503325
57,7,9781421506432
57,7,9781421506449
57,7,9781421506463
57,7,9781421506470
57,7,9781421510729
57,7,9781421510736
57,7,9781421525884
57,7,9781421530680
57,7,9781421538624
57,7,9781421542607
57,7,9781421542614
57,7,9781421552675
57,7,9781421558875
57,7,9781421559124
57,7,9781421592640
57,7,9781591167532
57,7,9781591167853
57,7,9781591168492
57,7,9781974703067
57,7,9781974708413
58,21,9780316385268
59,7,9781421593470
59,7,9781421596563
60,22,9781612620244
60,22,9781612620251
60,22,9781612620268
60,22,9781612622538
60,22,9781612622545
60,22,9781612622552
60,22,9781612622569
60,22,9781612625478
60,22,9781612625485
60,22,9781612626765
60,22,9781612626772
60,22,9781612626789
60,22,9781612626796
60,22,9781612626802
60,22,9781612629414
60,22,9781612629438
60,22,9781612629711
60,22,9781612629797
60,22,9781612629803
60,22,9781632361127
60,22,9781632361813
60,22,9781632362117
60,22,9781632362599
60,22,9781632363091
60,22,9781632363275
60,22,9781632364258
60,22,9781632364630
60,22,9781632365323
60,22,9781632365354
60,22,9781632366139
60,22,9781632366542
60,22,9781632366559
60,22,9781632366993
60,22,9781632367006
60,22,9781632367013
60,22,9781632367174
60,22,9781632367440
60,22,9781632367839
60,22,9781632368287
60,22,9781632369024
60,22,9781632369796
60,22,9781646510269
60,22,9781646510313
60,22,9781646512362
60,22,9781646513840
61,15,9781932234961
61,21,9780316412889
61,21,9780316521178
61,21,9780316558556
62,18,9781616552053
62,24,9781506703985
62,24,9781506707082
62,24,9781506711980
62,24,9781506711997
62,24,9781506712000
62,24,9781506714981
62,24,9781506715216
62,24,9781506715223
62,24,9781506715230
62,24,9781506717906
62,24,9781506717913
62,24,9781506717920
62,24,9781506727547
62,24,9781506727554
62,24,9781506727561
62,24,9781506733777
62,24,9781593070205
62,24,9781593070212
62,24,9781593070229
62,24,9781593072032
62,24,9781593072513
62,24,9781593072520
62,24,9781593073282
62,24,9781593073299
62,24,9781593073305
62,24,9781593073312
62,24,9781593074708
62,24,9781593074845
62,24,9781593075002
62,24,9781593075019
62,24,9781593075774
62,24,9781593077068
62,24,9781593077426
62,24,9781593077433
62,24,9781593077440
62,24,9781593077457
62,24,9781593077464
62,24,9781593078638
62,24,9781593078645
62,24,9781593078652
62,24,9781593079215
62,24,9781593079222
62,24,9781593079239
62,24,9781595822093
62,24,9781595822109
62,24,9781595822116
62,24,9781595823663
62,24,9781595823670
62,24,9781595823724
62,24,9781595825322
62,24,9781595826954
62,24,9781595829429
63,27,9781626925588
63,27,9781638581901
63,27,9781638583820
64,7,9781974722815
65,16,9781440309311
66,13,9781932664225
66,13,9781932664492
67,7,9781974717170
68,7,9781421580364
68,7,9781421580371
68,7,9781421580388
68,7,9781421580395
68,7,9781421580401
68,7,9781421580418
68,7,9781421580425
68,7,9781421580432
68,7,9781421580449
68,7,9781421580456
68,7,9781421580463
68,7,9781421580470
68,7,9781421590424
68,7,9781421590431
68,7,9781421594965
68,7,9781421594972
68,7,9781421594989
68,7,9781421594996
68,7,9781421595009
68,7,9781421595016
68,7,9781421595023
68,7,9781421595030
68,7,9781421596921
68,7,9781421598246
69,7,9781421569093
69,7,9781421569116
69,7,9781421569123
69,7,9781421569130
69,7,9781421599618
69,7,9781421599632
69,7,9781421599649
69,7,9781421599656
69,7,9781421599663
69,7,9781421599670
69,7,9781421599694
70,7,9781974717200
71,21,9780316360166
71,21,9780316360180
71,21,9780316360647
71,21,9780316360654
71,21,9780316360661
71,21,9780316360715
72,7,9781421569208
72,7,9781421569543
72,7,9781421585277
72,7,9781421585642
72,7,9781421585659
72,7,9781421586564
72,7,9781421586571
72,7,9781421592268
72,7,9781974700431
72,7,9781974704613
72,7,9781974707454
72,7,9781974709465
72,7,9781974711703
72,7,9781974714742
72,7,9781974722907
72,7,9781974725120
72,24,9781506709871
73,27,9781937867904
74,7,9781974701599
75,21,9780316180993
76,21,9780316268691
77,7,9781421591308
77,7,9781421591315
78,27,9781638582977
79,1,9781942993773
79,1,9781942993780
79,1,9781942993797
80,7,9781974719297
81,21,9781975311353
81,21,9781975311360
81,21,9781975311384
81,21,9781975311391
81,21,9781975311407
81,21,9781975311414
81,21,9781975316815
81,21,9781975316877
81,21,9781975319090
81,21,9781975324810
81,21,9781975338527
81,21,9781975347338
81,21,9781975399009
81,21,9781975399573
82,22,9781632366665
83,27,9781642750324
83,27,9781642750331
84,21,9781975317577
85,7,9781421501680
85,7,9781421501697
85,7,9781421501703
85,7,9781421503318
85,7,9781421506265
85,7,9781421506272
85,7,9781421506289
85,7,9781421506296
85,7,9781421506302
85,7,9781421511559
85,7,9781421511788
85,7,9781421513270
85,7,9781421535135
85,7,9781421535142
85,7,9781421539645
85,7,9781421539652
85,7,9781421539669
85,7,9781421539676
85,7,9781421539683
85,7,9781421539690
85,7,9781421597713
85,7,9781974730735
86,21,9780316309479
87,7,9781974725984
87,7,9781974727148
87,7,9781974728992
87,7,9781974732340
88,7,9781421555485
88,7,9781421564104
88,7,9781421564111
88,7,9781421564128
88,7,9781421564173
89,25,9781616551346
90,7,9781974713295
90,7,9781974713301
91,27,9781638585718
91,27,9781638585725
92,7,9781974718160
92,7,9781974722945
92,7,9781974725137
92,7,9781974734276
93,7,9781974704422
94,21,9781975311377
95,7,9781974734221
96,21,9780316080842
96,21,9780316084253
96,21,9780316084260
96,21,9780316084284
96,21,9780316084307
96,21,9780316189637
96,21,9780316189651
96,21,9780316189675
96,21,9780316189880
96,21,9780316225335
96,21,9780316244305
97,27,9781638589310
98,7,9781421564616
98,7,9781421590158
98,7,9781421596204
98,7,9781421598062
98,7,9781974702237
98,7,9781974717644
98,7,9781974734405
99,21,9780316245487
99,21,9780316322362
99,21,9780759531048
100,27,9781626929920
100,27,9781642750942
101,7,9781421522456
101,7,9781421522807
101,7,9781421522814
101,7,9781421523132
101,7,9781421549293
102,22,9781646516544
102,22,9781646516551
103,27,9781626923485
104,7,9781421550794
104,7,9781421586540
105,7,9781421557991
106,7,9781974700301
106,7,9781974700318
106,7,9781974700325
106,7,9781974700493
106,7,9781974700509
106,7,9781974701384
106,7,9781974701391
106,7,9781974704408
106,7,9781974705092
106,7,9781974706631
106,7,9781974707799
106,7,9781974710713
106,7,9781974732180
107,7,9781974712410
107,7,9781974712427
107,7,9781974712434
107,7,9781974726028
107,7,9781974732241
108,7,9781421500751
108,7,9781421501918
108,7,9781421504063
108,7,9781421506630
108,7,9781421506647
108,7,9781421506654
108,7,9781421510910
108,7,9781421510927
108,7,9781421515113
108,7,9781421515120
108,7,9781421515137
108,7,9781421515144
108,7,9781421524290
108,7,9781421524306
108,7,9781421528441
108,7,9781421528458
108,7,9781421536255
108,7,9781421536279
108,7,9781421536286
108,7,9781421538518
108,7,9781421539591
108,7,9781421540856
108,7,9781421541440
108,7,9781421554990
108,7,9781421555034
108,7,9781421560748
108,7,9781421569451
108,7,9781421573441
108,7,9781421576060
108,7,9781421576831
108,7,9781421580296
108,7,9781421582603
108,7,9781421585147
108,7,9781421590240
108,7,9781421592695
108,7,9781421594330
108,7,9781421597003
108,7,9781569319017
108,7,9781591160571
108,7,9781591161844
108,7,9781591163374
108,7,9781591166153
108,7,9781591167235
108,7,9781591168522
108,7,9781974700424
108,7,9781974705214
108,7,9781974707003
108,7,9781974707010
108,7,9781974712557
108,7,9781974715374
108,7,9781974718139
108,7,9781974719990
108,7,9781974722891
108,7,9781974725199
108,7,9781974725960
108,7,9781974729005
108,10,9781421585840
108,10,9781421588155
109,12,9781684151929
109,12,9781684152971
110,20,9781607062608
111,7,9781421501246
111,7,9781421502397
111,7,9781421502403
111,7,9781421502410
111,7,9781421525822
111,7,9781421529295
111,7,9781421539898
111,7,9781421539904
111,7,9781421539911
111,7,9781421580807
111,7,9781421582849
111,7,9781569319000
111,7,9781591161783
111,7,9781591161875
111,7,9781591163589
111,7,9781591163596
111,7,9781591167396
112,18,9781616552978
112,24,9781595829412
113,27,9781642757569
114,21,9780316272247
114,21,9780316398817
115,27,9781638585657
116,7,9781974728381
117,21,9781975323295
117,21,9781975323820
117,21,9781975341923
118,7,9781974701629
119,27,9781626921405
120,7,9781974700516
120,7,9781974702534
121,22,9781612620985
121,22,9781612620992
121,22,9781612622767
121,22,9781612622774
121,22,9781612622781
121,22,9781612622798
122,11,9781642730043
122,11,9781944937300
122,11,9781944937416
123,7,9781421508221
123,7,9781421511306
124,7,9781421588025
124,7,9781421588032
124,7,9781421588049
124,7,9781421589060
124,7,9781421593739
124,7,9781421593746
125,27,9781626923614
126,7,9781421533803
126,7,9781421533810
126,7,9781421533827
126,7,9781421533834
126,7,9781421533841
126,7,9781421533858
126,7,9781421533865
126,7,9781421565354
126,7,9781421565361
126,7,9781421565378
126,7,9781421577951
126,7,9781421577968
126,7,9781421577975
126,7,9781421583914
126,7,9781421587103
126,7,9781421594873
126,7,9781974700233
127,7,9781974724468
128,7,9781421576077
128,7,9781421576084
128,7,9781421576091
128,7,9781421576107
128,7,9781421576114
128,7,9781421576121
128,7,9781421576138
128,7,9781421582801
129,21,9780316073240
129,21,9780316073257
129,21,9780316073271
129,21,9780316073394
129,21,9780316073875
129,21,9780316073899
129,21,9780316073905
129,21,9780316073929
129,21,9780316077385
129,21,9780316126793
129,21,9780316190336
129,21,9780316322324
130,1,9781942993360
131,7,9781421594880
131,7,9781421594897
132,7,9781421571508
132,7,9781421571515
132,7,9781421571539
133,22,9781612620008
133,22,9781612620015
133,22,9781612620022
133,22,9781612620039
133,22,9781612620046
133,22,9781612620053
133,22,9781612620060
133,22,9781612620077
133,22,9781612620084
133,22,9781935429753
133,22,9781935429760
134,22,9781632367044
134,22,9781632367051
134,22,9781632367068
134,22,9781632368614
134,22,9781646513635
134,22,9781646514748
135,27,9781638583370
135,27,9781645059752
135,27,9781648273216
135,27,9781648273612
136,7,9781421582696
136,7,9781421582702
136,7,9781421585109
136,7,9781421585116
136,7,9781421587028
136,7,9781421588667
136,7,9781421590400
136,7,9781421591674
136,7,9781421593401
136,7,9781421595832
136,7,9781421597010
136,7,9781421598031
136,7,9781421599472
136,7,9781974702558
136,7,9781974707737
136,7,9781974709502
136,7,9781974709656
136,7,9781974709663
136,7,9781974711208
136,7,9781974717620
136,7,9781974719778
136,7,9781974721016
136,7,9781974722884
136,7,9781974725106
136,7,9781974727155
136,7,9781974732128
136,7,9781974732364
137,17,9780062569028
138,7,9781974713011
139,7,9781421597171
139,7,9781421597195
139,7,9781421598086
139,7,9781421599441
139,7,9781974700394
139,7,9781974704521
139,7,9781974709939
139,7,9781974709946
139,7,9781974717279
139,7,9781974719228
139,7,9781974720712
139,7,9781974720965
139,7,9781974722785
139,7,9781974724048
139,7,9781974725359
139,7,9781974727117
139,7,9781974734641
140,21,9780316076074
140,21,9780316412841
140,21,9780316552813
140,21,9781975381066
141,21,9780316245463
141,21,9780759531116
142,22,9781632360564
142,22,9781632360571
142,22,9781632360588
142,22,9781632360595
142,22,9781632360601
142,22,9781632360618
142,22,9781632362223
142,22,9781632365712
142,22,9781632366436
143,7,9781974707126
143,7,9781974707133
143,7,9781974707140
143,7,9781974707157
143,7,9781974707164
143,7,9781974707171
143,7,9781974707188
143,7,9781974707195
143,7,9781974717408
143,7,9781974717415
143,7,9781974718825
143,7,9781974718849
143,7,9781974718856
143,7,9781974724543
143,7,9781974724567
143,7,9781974731022
143,7,9781974731039
143,7,9781974731046
144,7,9781974734634
145,7,9781974718863
145,7,9781974724550
146,7,9781421599687
146,7,9781421599700
146,7,9781421599717
147,22,9781612623559
148,24,9781595827487
149,1,9781949980134
149,22,9781632363633
150,5,9780099538363
151,3,9788419010124
151,7,9781421578798
151,7,9781421578804
151,7,9781421578811
151,7,9781421578828
151,7,9781421578835
151,7,9781421578842
151,7,9781421578859
151,7,9781421590653
151,7,9781421591575
151,7,9781421591698
151,7,9781421591704
151,7,9781421591711
151,7,9781421591728
151,7,9781421591735
151,7,9781421591742
151,7,9781421591759
151,7,9781421591766
151,7,9781974706525
151,7,9781974708086
151,7,9781974708093
151,7,9781974708109
151,7,9781974708116
151,7,9781974723492
151,7,9781974723997
151,7,9781974724123
151,7,9781974724130
151,14,9781561636150
152,8,9781427871305
153,7,9781974707980
153,7,9781974707997
153,7,9781974708000
153,7,9781974708024
154,21,9781975332877
155,7,9781421579160
155,7,9781421579177
156,7,9781421555645
156,7,9781421555652
156,7,9781421592541
156,7,9781421596471
156,7,9781421599465
156,7,9781569319208
156,7,9781569319307
156,7,9781974701445
156,7,9781974704583
156,7,9781974705207
156,7,9781974707775
156,7,9781974708710
156,7,9781974708727
156,7,9781974709410
156,7,9781974712366
156,7,9781974715268
156,7,9781974717613
156,7,9781974720019
156,7,9781974724635
156,7,9781974725175
156,7,9781974732111
157,1,9781942993858
157,7,9781421561325
157,7,9781421579153
157,7,9781421580791
157,7,9781421590561
157,7,9781421596938
157,7,9781421598468
157,7,9781974703760
157,7,9781974713004
157,7,9781974718900
157,7,9781974719846
157,7,9781974719860
157,7,9781974726448
157,22,9781632361974
158,15,9781939130846
159,7,9781974725274
159,7,9781974725281
159,7,9781974725410
159,7,9781974726585
160,7,9781974709403
160,7,9781974710447
160,7,9781974713462
161,7,9781974709953
162,22,9781632364616
162,22,9781935429005
162,22,9781935429029
162,22,9781935429043
162,22,9781935429067
162,22,9781935429074
162,22,9781935429081
163,22,9781632367747
164,22,9781646511846
165,21,9781975338862
165,21,9781975345143
166,7,9781974721566
167,7,9781421518831
168,27,9781638589297
168,27,9781638589334
169,7,9781421587660
169,7,9781421587677
169,7,9781421587684
169,7,9781421587691
169,7,9781421587707
169,7,9781421588582
169,7,9781421590622
169,7,9781421590981
169,7,9781421590998
169,7,9781421591001
169,7,9781421591018
169,7,9781421591025
169,7,9781421591032
169,7,9781421591049
169,7,9781421591056
169,7,9781421591063
169,7,9781421591070
169,7,9781421591087
169,7,9781421591094
169,7,9781421596075
169,7,9781421596099
169,7,9781421596105
169,7,9781421596112
169,7,9781974703951
169,7,9781974705054
169,7,9781974707430
169,7,9781974707805
169,7,9781974709458
169,7,9781974710720
169,7,9781974711697
169,7,9781974712571
169,7,9781974718122
169,7,9781974719754
169,7,9781974720989
169,7,9781974722839
169,7,9781974723645
170,27,9781642750607
171,7,9781974709274
172,7,9781421592114
173,7,9781421530567
173,7,9781421577760
174,7,9781974710027
174,7,9781974710034
174,7,9781974710041
174,7,9781974714803
174,7,9781974714810
174,7,9781974714827
174,7,9781974717118
174,7,9781974718726
174,7,9781974720149
174,7,9781974720750
174,7,9781974722846
174,7,9781974722853
174,7,9781974723423
174,7,9781974725328
174,7,9781974727100
174,7,9781974728985
174,7,9781974732333
174,7,9781974734399
175,7,9781421519180
175,7,9781421519197
175,7,9781421519210
175,7,9781421525839
175,7,9781421527215
175,7,9781421532677
175,7,9781421533438
176,7,9781569319727
176,7,9781569319734
176,7,9781591161066
176,7,9781591161332
177,21,9780316342179
177,21,9780316348836
177,21,9780316376815
178,22,9781646511129
178,22,9781646511242
178,22,9781646511259
178,22,9781646511266
178,22,9781646511273
178,22,9781646511280
178,22,9781646512928
179,0,9780399580536
180,7,9781974725762
180,7,9781974727230
180,7,9781974727254
180,7,9781974730070
181,7,9781421572543
181,7,9781421572550
181,7,9781421572567
182,7,9781974723676
183,18,9781616556068
184,8,9781427871879
185,15,9781935654872
186,24,9781506715537
187,7,9781974702657
187,7,9781974702664
187,7,9781974702671
187,7,9781974702688
187,7,9781974702695
187,7,9781974702701
188,7,9781974707096
188,7,9781974715473
188,7,9781974717477
